ID_Movimiento,Fecha,ID_Proveedor,ID_Bodega,ID_Producto,Cantidad,Precio_Unitario,Tipo_Movimiento,Orden_Compra
1,2026-04-01,1,1,1,148,115388,OUT,PQ-1049
2,2026-02-14,1,1,2,27,35506,IN,PQ-1041
3,2026-01-01,2,1,3,70,14290,IN,PQ-1022
4,2026-02-16,1,2,3,160,117524,IN,PQ-1075
5,2026-02-28,2,3,2,40,139836,OUT,PQ-1091
6,2026-03-06,1,1,1,130,88512,OUT,PQ-1041
7,2026-01-20,1,3,2,33,43746,OUT,PQ-1059
8,2026-04-13,2,1,3,119,23022,OUT,PQ-1035
9,2026-04-17,3,3,3,185,123653,IN,PQ-1032
10,2026-02-02,3,3,2,87,123108,OUT,PQ-1009
11,2026-05-23,1,1,3,175,39944,IN,PQ-1040
12,2026-03-19,1,3,1,199,118291,OUT,PQ-1023
13,2026-01-25,2,2,3,131,71980,OUT,PQ-1029
14,2026-03-15,1,1,1,134,89964,OUT,PQ-1035
15,2026-03-12,2,3,1,124,52910,IN,PQ-1094
16,2026-04-26,2,3,1,61,136736,IN,PQ-1034
17,2026-03-03,2,2,1,169,18022,OUT,PQ-1043
18,2026-03-21,1,1,4,192,108802,OUT,PQ-1083
19,2026-03-11,1,2,2,78,37943,OUT,PQ-1036
